Category: All categories
"tuberculosis: (5/22/19 - 5/22/20, United States)"

TOP
Tuberculosis,100
Symptom,7
Mantoux test,6
Disease,5
Vaccine,5
Infection,4
Therapy,4
Mycobacterium tuberculosis,3
Mycobacterium,3
Tuberculosis vaccines,3
BCG vaccine,3
Cure,3
Lung,2
Bacteria,2
Red Dead Redemption 2,2
Latent tuberculosis,2
Pneumonia,2
Pharmaceutical drug,2
Patient,1
HIV/AIDS,1
Cough,1
Cause,1
Tuberculosis management,1
Contagious disease,1
Medical sign,1

RISING
Pandemic,+200%
Moulin Rouge!,+190%
Mortality rate,+180%
Hepatitis C,+150%
Black Death,+150%
Ebola virus disease,+140%
Bloodborne,+130%
Typhoid fever,+110%
Bubonic plague,+110%
Cystic fibrosis,+110%
Tissue,+90%
Vaccination,+90%
Epidemic,+90%
Tuberculosis vaccines,+80%
Tuberous sclerosis,+80%
BCG vaccine,+60%
Vaccine,+50%

