Category: All categories
"tuberculosis: (5/21/19 - 5/21/20, Worldwide)"

TOP
Tuberculosis,100
Symptom,9
Therapy,6
Disease,6
Mycobacterium tuberculosis,5
Vaccine,5
Mycobacterium,5
Lung,4
Mantoux test,3
Infection,3
Bacteria,2
BCG vaccine,2
Pneumonia,2
Pharmaceutical drug,2
Patient,2
Cure,2
Pulmonary tuberculosis,2
HIV/AIDS,2
Tuberculosis vaccines,2
Tuberculosis management,2
Preventive healthcare,2
Medical diagnosis,1
HIV,1
Cough,1
Influenza,1

RISING
Simón Bolívar,+900%
Vaccination,+160%
Disease outbreak,+110%
Epidemic,+90%
Tuberculosis vaccines,+80%
Mortality rate,+70%
Immunity,+70%
Vaccine,+60%
Microorganism,+50%
BCG vaccine,+50%
Plague,+50%
Streptococcus pneumoniae,+50%
Antibody,+50%
Lesion,+50%
Measles,+40%

